,Item,Count,average_count
51,South Indian Filter Kaapi (150 ML),338,11.266666666666667
84,Baked Vada Pav,289,9.633333333333333
47,South Indian Filter Kaapi (250 ML),243,8.1
25,Origanal South Indian Frappe (350 ML),228,7.6
74,Cappucino (250 ML),220,7.333333333333333
77,Vietnamese (350 ML),153,5.1
63,Classic Frappe (350 ML),151,5.033333333333333
75,Papparoti (Plain),150,5.0
53,Iced Latte (350 ML),148,4.933333333333334
28,Hot Chocolate (250 ML),142,4.733333333333333
85,Hazelnut Frappe (350 ML),138,4.6
69,Americano (250 ML),132,4.4
79,Madagascar Chocochip Frappe (350 ML),122,4.066666666666666
34,Chicken Calzone,112,3.7333333333333334
80,Hyderabadi Chicken Keema Pav,112,3.7333333333333334
11,Iced Americano (350 ML),110,3.6666666666666665
60,Papparoti (Add On Nutella sauce),103,3.433333333333333
58,Baked Pav Bhaji,99,3.3
30,Choco-crinkle-cookies (COMBO 3 PCS),98,3.2666666666666666
9,Kaapicino (250 ML),93,3.1
59,Cafe Latte (250 ML),88,2.933333333333333
55,Calzones Veg (Calzone Paneer),87,2.9
26,Berliners (Nutella Berliner),83,2.7666666666666666
71,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,79,2.6333333333333333
89,Almond Frappe (350 ML),76,2.533333333333333
4,ALMOND MILK (200 ML),71,2.3666666666666667
64,Calzones Veg (Calzone Veg),67,2.2333333333333334
20,Berliners (Dark Choco Mousse Berliner),63,2.1
14,Spicy Banana Chips 60 Gm,62,2.066666666666667
49,Madagascar Hot Chocolate (250 ML),62,2.066666666666667
56,Flat White 250 Ml,61,2.033333333333333
29,Cappucino (350 ML),58,1.9333333333333333
39,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),57,1.9
16,Rosella Cheesecake Berliner,54,1.8
57,Nariyal Irish Cream Frappe (350 ML),53,1.7666666666666666
13,Cafe Mocha (250 ML),52,1.7333333333333334
86,Yellow Banana Chips 60 Gm,51,1.7
36,OAT MILK (200 ML),50,1.6666666666666667
33,Sea Salt Dark Mocha Frappe (350 ML),50,1.6666666666666667
3,Sea Salt Dark Mocha (250 ML),48,1.6
81,Berliners (Blueberry Cheese Cake Berliner),40,1.3333333333333333
62,Caramel Frappe (350 ML),39,1.3
37,Iced Mocha (350 ML),39,1.3
48,Bon Bon (350 ML),38,1.2666666666666666
6,Berliners (Lotus Biscoff Berliner),38,1.2666666666666666
68,Cold Brew,37,1.2333333333333334
93,Vanilla Praline (350 ML),37,1.2333333333333334
78,Tartlets (chocolate Tartlet),36,1.2
10,Origanal South Indian Frappe (450 ML),35,1.1666666666666667
43,Add On Syrup (Add On Vanilla Syrup),32,1.0666666666666667
67,Add On Syrup (Add On hazelnuts Syrup),32,1.0666666666666667
22,Gluten Free Hazelnut Brownie,32,1.0666666666666667
82,Iced Americano (450 ML),32,1.0666666666666667
65,Almond Honey Latte (250 ML),28,0.9333333333333333
41,Hot Chocolate (350 ML),28,0.9333333333333333
8,Madagascar Chocochip Frappe (450 ML),27,0.9
38,Vietnamese (450 ML),27,0.9
27,Madagascar Hot Chocolate (350 ML),26,0.8666666666666667
46,Hyderabadi Soya Keema Pav,26,0.8666666666666667
54,Mix Tartlet 3 Pcs (chocolate Tartlet),25,0.8333333333333334
7,Berliner Mix 3 Pcs (Nutella Berliner),25,0.8333333333333334
153,Classic Frappe (350 Ml),25,0.8333333333333334
42,Espresso Tonic (Tonic Water),24,0.8
21,Mix Tartlet 3 Pcs (Filter Kaapi Tartlet),22,0.7333333333333333
97,Tartlets (Kacha Nimbu Tartlet),22,0.7333333333333333
19,Mix Berliner 2 Pcs (Nutella Berliner),22,0.7333333333333333
1,Hazelnut Frappe (450 ML),21,0.7
5,Berliner Mix 3 Pcs (Lotus Biscoff Berliner),20,0.6666666666666666
104,Kaapicino (350 ML),20,0.6666666666666666
157,ESPRESSO (30 ML),19,0.6333333333333333
18,Berliner Mix 3 Pcs (Dark Choco Mousse Berliner),19,0.6333333333333333
95,Iced Latte (450 ML),19,0.6333333333333333
96,Mix Tartlet 3 Pcs (salted Caramel tartlet),18,0.6
107,Tartlets (Salted Caramel Tartlet),18,0.6
15,Irish Americano (250 ML),18,0.6
76,Strawbery Rosella Frangipani Tart,18,0.6
116,Americano (350 ML),17,0.5666666666666667
102,Hot Chocolate (250 Ml),17,0.5666666666666667
17,Double Restritto 44 Ml,17,0.5666666666666667
112,Cafe Mocha (350 ML),16,0.5333333333333333
114,Tartlets (Filter Kaapi Tartlet),15,0.5
135,Add On Syrup (Add On Caramel Syrup),15,0.5
35,Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner),15,0.5
40,Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),14,0.4666666666666667
31,Add On Syrup (Add On Irish Syrup),14,0.4666666666666667
92,Classic Frappe (450 ML),14,0.4666666666666667
32,South Indian Filter Kaapi (250 Ml),13,0.43333333333333335
73,Iced Americano (450 Ml),13,0.43333333333333335
72,Berliner Mix 3 Pcs (Blueberry Cheese Cake Berliner),12,0.4
52,Sea Salt Dark Mocha (350 ML),12,0.4
66,Sea Salt Dark Mocha Frappe (450 ML),12,0.4
87,Mix Tartlet 3 Pcs (Kacha Nimbu Tartlet),11,0.36666666666666664
61,Mix Berliner 2 Pcs (Lotus Biscoff Berliner),11,0.36666666666666664
166,Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),11,0.36666666666666664
44,Pour Over,10,0.3333333333333333
45,Classic Frappe (450 Ml),10,0.3333333333333333
101,Iced Mocha (450 ML),10,0.3333333333333333
24,Cafe Latte (350 ML),10,0.3333333333333333
115,Choco-crinkle-cookies (COMBO 6 PCS),9,0.3
120,Mix Tartlet 3 Pcs (kodai cheese tartlet),9,0.3
137,Whole Wheat Ladi Pav 4 Pc,9,0.3
0,Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),9,0.3
23,Malnad Tonic (choice Of Tonic),9,0.3
12,Aeropress,8,0.26666666666666666
159,Almond Honey Latte (350 ML),8,0.26666666666666666
163,Pappa Roti (Add On Nutella sauce),8,0.26666666666666666
90,Macchiato 30 Ml,8,0.26666666666666666
109,Cashew Nuts Nankhatai Veg,8,0.26666666666666666
111,Madagascar Chocochip Frappe (350 Ml),8,0.26666666666666666
94,Almond Frappe (450 ML),7,0.23333333333333334
141,Cappucino (350 Ml),7,0.23333333333333334
127,White Loaf Bread,7,0.23333333333333334
91,Irish Americano (350 ML),7,0.23333333333333334
174,Baba Budan Peak 250 Gm,7,0.23333333333333334
113,Tartlets (kodai cheese tartlet),6,0.2
108,Vanilla Praline (450 ML),6,0.2
98,Origanal South Indian Frappe (350 Ml),6,0.2
145,Cafe Mocha (250 Ml),6,0.2
99,Coconut Nankhatai (with Egg),6,0.2
123,Choco-crinkle-cookies (with Egg) (COMBO 3 PCS),6,0.2
160,ESPRESSO (60 ML),5,0.16666666666666666
2,Plain Nankhatai Veg,5,0.16666666666666666
168,Cappucino (250 Ml),5,0.16666666666666666
70,OAT MILK (150 ML),5,0.16666666666666666
133,CHILLI GUVAVA JUICE,5,0.16666666666666666
130,ORANGE JUICE,5,0.16666666666666666
172,Nariyal Irish Cream Frappe (450 ML),5,0.16666666666666666
175,Pappa Roti (Plain),5,0.16666666666666666
126,Americano (350 Ml),5,0.16666666666666666
121,Waves Of Malnad 250 GM,5,0.16666666666666666
88,Bon Bon (450 ML),5,0.16666666666666666
124,Iced Americano (350 Ml),5,0.16666666666666666
118,Spicy Banana Chips  60 Gm,5,0.16666666666666666
105,Caramel Frappe (450 ML),4,0.13333333333333333
106,Calzone Mix 3 Pc (Calzone Paneer),4,0.13333333333333333
117,Iced Latte (350 Ml),4,0.13333333333333333
165,Nariyal Irish Cream Frappe (350 Ml),4,0.13333333333333333
119,Add On Syrup (Add On Tiramisu Syrup),4,0.13333333333333333
132,MANGO JUICE,4,0.13333333333333333
171,Wild Chikmanglur 250 GM,4,0.13333333333333333
134,Add On Syrup (Add On Cinnamon Syrup),4,0.13333333333333333
170,Kodai Shroom 250 GM,3,0.1
50,French Press,3,0.1
125,Mix Tartlet 3 Pcs (salted Caramel  tartlet),3,0.1
131,Mix Tartlet 6 Pcs (chocolate Tartlet),3,0.1
178,Vietnamese (350 Ml),3,0.1
164,Irish Americano (250 Ml),3,0.1
146,Origanal South Indian Frappe (450 Ml),3,0.1
173,PINAPPLE JUICE,3,0.1
144,ALMOND MILK (150 ML),3,0.1
83,Mix Berliner  2 Pcs (Nutella Berliner),3,0.1
129,Mix Tartlet 6 Pcs (salted Caramel tartlet),3,0.1
161,Mix Tartlet 6 Pcs (Filter Kaapi Tartlet),2,0.06666666666666667
156,Cafe Latte 350 Ml (250 ML),2,0.06666666666666667
167,Sea Salt Dark Mocha (250 Ml),2,0.06666666666666667
158,Add On Syrup (Add On Dark chocolate Sauce),2,0.06666666666666667
147,Madagascar Chocochip Frappe (450 Ml),2,0.06666666666666667
136,Mix Tartlet 6 Pcs (kodai cheese tartlet),2,0.06666666666666667
152,Irish Americano (350 Ml),2,0.06666666666666667
151,Americano (250 Ml),2,0.06666666666666667
150,Almond Frappe (350 Ml),2,0.06666666666666667
181,Hazelnut Frappe (450 Ml),2,0.06666666666666667
183,Cafe Mocha (350 Ml),2,0.06666666666666667
184,Choco-crinkle-cookies (with Egg) (COMBO 9 PCS),2,0.06666666666666667
186,Almond Frappe (450 Ml),2,0.06666666666666667
176,Madagascar Hot Chocolate (250 Ml),2,0.06666666666666667
128,Calzone Mix 2 Pc (Calzone Paneer),2,0.06666666666666667
179,Almond Milk (150 ML),1,0.03333333333333333
190,Mix Berliner  2 Pcs (Lotus Biscoff Berliner),1,0.03333333333333333
189,Mix Berliner  2 Pcs (Dark Choco Mousse Berliner),1,0.03333333333333333
185,Calzone Mix 2 Pc (Calzone Veg),1,0.03333333333333333
188,Choco-crinkle-cookies (with Egg) (COMBO 6 PCS),1,0.03333333333333333
177,Bon Bon (350 Ml),1,0.03333333333333333
180,Combo-original South Indian Frappe 350 ML + Mix Banana Chips,1,0.03333333333333333
182,Kaapicino (350 Ml),1,0.03333333333333333
187,Madagascar Hot Chocolate (350 Ml),1,0.03333333333333333
100,Mix Berliner  2 Pcs (Blueberry Cheese Cake Berliner),1,0.03333333333333333
169,Add On Syrup (Add On Nutella sauce),1,0.03333333333333333
162,Coconut Natkhatai (with Egg),1,0.03333333333333333
155,Kaapicino (250 Ml),1,0.03333333333333333
154,Combo-south Indian Filter Kaapi 150 ML + Papparoti,1,0.03333333333333333
149,Cafe Latte 350 Ml (350 Ml),1,0.03333333333333333
148,Vietnamese (450 Ml),1,0.03333333333333333
103,Oat Milk (150 ML),1,0.03333333333333333
143,Mix Tartlet 9 Pcs (kodai cheese tartlet),1,0.03333333333333333
142,Mix Tartlet 9 Pcs (Salted Caramel Tartlet),1,0.03333333333333333
140,Mix Tartlet 9 Pcs (Kacha Nimbu Tartlet),1,0.03333333333333333
139,Mix Tartlet 9 Pcs (Filter Kaapi Tartlet),1,0.03333333333333333
138,Mix Tartlet 9 Pcs (chocolate Tartlet),1,0.03333333333333333
122,Malnad Tonic (Choice Of Tonic),1,0.03333333333333333
110,Iced Latte (450 Ml),1,0.03333333333333333
191,Oat Milk (150 Ml),1,0.03333333333333333
